date,complete,articles,war_articles,acts,threats,energy,peace,risk_balance,attention,attention_change,risk_change,news_innovation,macro
2026-04-24,True,5,2,0,0,0,1,-10.0,1.0986122886681098,-0.2876820724517808,-47.5,0.2876820724517808,False
2026-04-27,True,7,7,0,0,1,2,7.142857142857143,2.0794415416798357,0.980829253011726,17.142857142857142,0.980829253011726,False
2026-04-28,True,3,2,0,0,1,0,33.333333333333336,1.0986122886681098,-0.980829253011726,26.190476190476193,0.980829253011726,False
2026-04-29,True,7,3,0,1,1,1,7.142857142857143,1.3862943611198906,0.2876820724517808,-26.190476190476193,0.2876820724517808,True
2026-04-30,True,2,1,0,0,1,0,37.5,0.6931471805599453,-0.6931471805599453,30.357142857142858,0.6931471805599453,False
2026-05-01,True,3,1,0,0,0,1,-25.0,0.6931471805599453,0.0,-62.5,0.0,False
2026-05-04,True,9,5,3,2,3,2,25.0,1.791759469228055,1.0986122886681096,50.0,1.0986122886681096,False
2026-05-05,True,6,2,0,1,0,1,-4.166666666666667,1.0986122886681098,-0.6931471805599452,-29.166666666666668,0.6931471805599452,False
2026-05-06,True,8,1,0,0,1,0,9.375,0.6931471805599453,-0.4054651081081645,13.541666666666668,0.4054651081081645,False
2026-05-07,True,6,4,1,1,2,3,4.166666666666667,1.6094379124341003,0.916290731874155,-5.208333333333333,0.916290731874155,False
2026-05-08,True,2,1,1,0,1,1,37.5,0.6931471805599453,-0.916290731874155,33.333333333333336,0.916290731874155,True
2026-05-11,True,7,4,0,0,1,1,10.714285714285714,1.6094379124341003,0.916290731874155,-26.785714285714285,0.916290731874155,False
2026-05-12,True,5,1,1,0,0,0,20.0,0.6931471805599453,-0.916290731874155,9.285714285714286,0.916290731874155,True
2026-05-13,True,3,1,0,1,1,0,33.333333333333336,0.6931471805599453,0.0,13.333333333333336,0.0,False
2026-05-14,True,2,1,0,0,1,0,37.5,0.6931471805599453,0.0,4.166666666666664,0.0,False
2026-05-15,True,4,2,0,0,1,0,25.0,1.0986122886681098,0.4054651081081645,-12.5,0.4054651081081645,False
2026-05-18,True,3,2,1,1,1,1,33.333333333333336,1.0986122886681098,0.0,8.333333333333336,0.0,False
2026-05-19,True,3,2,0,0,0,0,25.0,1.0986122886681098,0.0,-8.333333333333336,0.0,False
2026-05-20,True,5,1,0,1,0,0,10.0,0.6931471805599453,-0.4054651081081645,-15.0,0.4054651081081645,False
2026-05-21,True,1,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-10.0,0.6931471805599453,False
2026-05-22,True,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-05-26,True,13,7,3,0,0,6,-15.384615384615385,2.0794415416798357,2.0794415416798357,-15.384615384615385,2.0794415416798357,False
2026-05-27,True,2,1,0,0,0,1,-37.5,0.6931471805599453,-1.3862943611198904,-22.115384615384613,1.3862943611198904,False
2026-05-28,True,4,2,1,0,0,0,31.25,1.0986122886681098,0.4054651081081645,68.75,0.4054651081081645,False
